Company or Institution Name,Compensation - Overtime Pay,[Optional] Briefly describe your position,Timestamp,Compensation - Most recent annual yearly raise (%),Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Company Detail - Approximate Company Size,Company Details - public/private/start-up/ subsidiary of ,Compensation - Annual Base Salary/Pay,Compensation - Sign on Bonus Value,What country do you work in?,Where is the closest major city or hub?,List other relevant and recognized certifications,[Optional] Company Review,Compensation - Annual Target Bonus ($),Biotech sub industry?,Role / Title of current position,Years of Experience,What degrees do you have?,What degrees do you have? ,Compensation - Stock Options,Survey Feedback,Compensation - Annual Equity/Stock Option,Compensation - Annual Equity,Compensation - Retirement Percent Match (free text),Highest achieved Formal Education,[OPTIONAL] Sign on - Relocation Assistance Total Value,Where are you located?,Compensation - Sign on Stock/Equity Options,"[Optional] Work Life Balance - On average, how many hours do you work per week",Year,Hub Mapped,Hub Count,Hub Rank
Prefer not to say,1.5x base,,2024-06-11,3%,"401k, no match ",,200-1000,Private,95000.0,0,,,None,,Based on company and individual performance,Industrial Biotech,Research Associate II ,4,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-11,3,6% 401k match,,5000+,Public,220000.0,0,,,None,,50000,Big Pharmaceuticals,Director,6,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-11,5%,401k match 100% up to 6%,25000,5000+,Public,135000.0,10000,,,MBA,,25%,Medical/Health Devices,Senior Scientist II,4,"Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Translational Medicine,2024-06-11,9.50%,No benefit,"90% paid, $2900 decuctible, BlueCross BlueSheild, company provides $2000 for HSA",50-200,Private,176000.0,0,,,None,"Pays well, but tons and tons of stress",20%,Startup,Principal Scientist,19,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Gates Biomanufacturing Facility,Flex time PTO at 1.5x number of hours worked,"Manufacturing, Process Development, PD studies, Data analysis",2024-06-12,3%,403b 10% match,"Anthem blue cross blue shield, PPO",50-200,Academia/College/Universities,82500.0,0,,,None,3/5,Not Applicable/None,Academia/Research/Institution,PRA ,12,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-12,3,401K match 8%,,5000+,Private,235000.0,0,,,None,,50000,Big Pharmaceuticals,Director,17,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Associate Director in process development of cell therapy with 3 direct reports,2024-06-12,5,401k match 2%,,50-200,Public,190000.0,0,,,PMP,,38000,Industrial Biotech,Associate Director,7,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
FogPharma,N/A (no overtime/salaried),"Scientist II, Process chemistry ",2024-06-12,Have not been long enough to have an annual yearly raise,4% match,,50-200,Start-up,125000.0,5000,,,None,Stay Awayyy! Fog=Foggy,12%,Industrial Biotech,Scientist II,2,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Eli Lilly,N/A (no overtime/salaried),Genomics,2024-06-13,Have not been long enough to have an annual yearly raise,"6% 401k match, pension after 5 years",,5000+,Public,128000.0,5000,,,None,,9000,Big Pharmaceuticals,Senior Associate Scientist II (Sr Sci II),10,"Bachelors or Equivalent, Masters or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Parexel,N/A (no overtime/salaried),,2024-06-13,3%,401K Match 3%,,5000+,Private,126000.0,0,,,None,,Not Applicable/None,Contract Research Organization,Scientist,8,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-13,Not sure,3% 401k match (don't rlly know about others as much),free healthcare,200-1000,Public,80000.0,0,,,None,,10%,Industrial Biotech,Associate Scientist I,0,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Roche,N/A (no overtime/salaried),,2024-06-13,3,4% 401k Match,,5000+,Public,88000.0,0,,,None,,4400,Big Pharmaceuticals,Senior Research Associate,5,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Lallemand,N/A (no overtime/salaried),,2024-06-14,2.40%,401k 6% match,,1000-5000,Private,60000.0,0,,,None,,Not Applicable/None,Industrial Biotech,Research Associate II,7,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Mascoma LLC,N/A (no overtime/salaried),,2024-06-14,1.7,401k match up to 6%,,50-200,Private,53400.0,4000,,,None,,Not Applicable/None,Academia/Research/Institution,Research Associate I,1,"High School or Equivalent, Bachelors or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-14,4%,4.50%,,5000+,Public,140000.0,15000,,,None,,15%,Big Pharmaceuticals,"Manager, QA",5,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Lallemand / Mascoma LLC,N/A (no overtime/salaried),"Facilitate the development of peptide producing starlings for industrial use in precision fermentation. Includes enzyme/growth analysis, scale up, and DSP.",2024-06-14,3.40%,6% 401(k) match,,1000-5000,Private,51000.0,0,,,None,2/10. Chronic underpayment. Was experienced salary theft for 7 months (was later remedied). High Turnover. Low moral. Lack of consideration for company wide interpersonal issues.,Not Applicable/None,Industrial Biotech,Research Associate I,5,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-14,2,Full match up to 5% of salary,,200-1000,Private,135000.0,0,,,None,,Not Applicable/None,Academia/Research/Institution,Senior bioinformatics scientist,8,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Inotiv,N/A (no overtime/salaried),,2024-06-15,Company/Institution does not have annual yearly raise,0,,1000-5000,Public,77000.0,0,,,None,,Not Applicable/None,Contract Research Organization,Analytical Chemist,5,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Principal Scientist - Manage characterization of T cell therapeutics for discovery research programs. Manage two junior scientists. ,2024-06-15,Have not been long enough to have an annual yearly raise,None,,1-50,Start-up,170000.0,0,,,None,,25000,Big Pharmaceuticals,Principal Scientist,5,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-15,Have not been long enough to have an annual yearly raise,n/a,,50-200,Start-up,135000.0,15000,,,None,,16875,Therapeutics,Scientist I,8,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),"Engineer, R&D biologics",2024-06-15,4%,"401k 4.5% match, pension",Blue Cross blue shield ,5000+,Private,109000.0,0,,,None,8/10,10000,Big Pharmaceuticals,Specialist Engineering ,4,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Veteran's Medical Research Foundation,1.5,,2024-06-15,3,401b,,50-200,Academia/College/Universities,60320.0,0,,,None,,Not Applicable/None,Academia/Research/Institution,Research Associate II,4,"High School or Equivalent, Bachelors or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-16,4,5% 401k match,,200-1000,Public,296000.0,90000,,,None,,90000,Big Pharmaceuticals,Senior director,17,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-16,Have not been long enough to have an annual yearly raise,8%,,5000+,Public,125000.0,10000,,,None,,18000,Big Pharmaceuticals,Senior Scientist,0,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Sr Associate Scientist- in vivo and ,2024-06-16,2.8,N/A,Full coverage of premiums for individual or family,1-50,Start-up,132000.0,0,,,None,,13200,Big Pharmaceuticals,Senior Associate Scientist ,9,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Pharmacovigilance/Pharmacoepidemiology,2024-06-16,Have not been long enough to have an annual yearly raise,"6% 401k match, pension ",,5000+,Public,200000.0,30000,,,None,,34000,Big Pharmaceuticals,Associate Director,2,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-16,10,N/A,,1-50,Start-up,60000.0,0,,,None,,Not Applicable/None,Industrial Biotech,Associate Scientist,4,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent, Masters or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Jr. Specialist - Lab technician and postbacc training position.,2024-06-16,Have not been long enough to have an annual yearly raise,8% 401k match,,5000+,Academia/College/Universities,51300.0,0,,,None,,Not Applicable/None,Academia/Research/Institution,Junior Specialist,3,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-16,"Typically 3 to 5 %, but it’s been 2 years since any raise ","Offers 401k plan, but no match ",,1-50,Private,123000.0,0,,,None,,Not Applicable/None,Small biotech ,Program Manager - Project Management ,15,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-17,Have not been long enough to have an annual yearly raise,N/A,,200-1000,Academia/College/Universities,55000.0,0,,,None,,Not Applicable/None,Academia/Research/Institution,Research Assistant,2,"Associate’s Degree or Equivalent, Bachelors or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Analytical Development Scientist - Method Development to support AAV drug development for clients,2024-06-17,3,50% 401k match up to 3% total,"HSA contributions of 2,000/yr",50-200,Public,122000.0,0,,,None,,15000,Contract Manufacturing Organization,Scientist I,6,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-17,3%,5%,,5000+,Public,120000.0,0,,,None,,14400,Big Pharmaceuticals,Sr. Engineer,4,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-18,3,6%,,5000+,Public,171000.0,40000,,,None,,25650,Big Pharmaceuticals,Manager,5,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-18,4%,3%,,200-1000,Public,200000.0,0,,,None,,15%,Industrial Biotech,Associate Director,11,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-18,2%,401K match 6%,Very good benefits with High deductible health plan and HSA. Majority of deductible given within HSA yearly,50-200,Public,145000.0,0,,,None,,12.50%,Big Pharmaceuticals,Medical Science Liaison,3,PharmD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-18,Company/Institution does not have annual yearly raise,401k match 4%,,50-200,Private,78000.0,0,,,None,,Not Applicable/None,Contract Manufacturing Organization,QC 2,5,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Scientist - computational chemistry. early phase project support,2024-06-19,3.25,401 k match of 6%,,5000+,Public,144000.0,22500,,,None,,"14,400",Big Pharmaceuticals,Scientist,4,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Clinical role ,2024-06-19,Have not been long enough to have an annual yearly raise,6% match,,5000+,Public,155000.0,10000,,,None,,23250,Big Pharmaceuticals,Manager,7,PharmD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Osler Diagnostics,N/A (no overtime/salaried),,2024-06-19,14,5% contribution,£500 wellbeing budget. Vitality health insurance,50-200,Start-up,33800.0,0,,,None,,Not Applicable/None,Medical/Health Devices,Research Assistant,2,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
FDA,N/A (no overtime/salaried),Clinical Pharmacologist Reviewer - Review the clinical pharmacology aspects of an IND/NDA/BLA,2024-06-19,Have not been long enough to have an annual yearly raise,"TSP match % = 4%
Pension
TSP contribution = 1%","HSA contribution = $900/year
Vision, dental, healthcare ",5000+,Government,140000.0,5000,,,None,,Not Applicable/None,Government,Clinical Pharmacologist Reviewer,3,"Bachelors or Equivalent, PharmD or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Amgen,N/A (no overtime/salaried),Operations strategy and business resilience,2024-06-19,4.20%,5% core contribution plus 100% match up to 5%,,5000+,Public,158000.0,0,,,None,I believe in the mission and trust my leadership.  Work/life balance in my group could be better,20%,Big Pharmaceuticals,Senior Manager,15,"Bachelors or Equivalent, Masters or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Pfe,N/A (no overtime/salaried),manage group of 10,2024-06-19,3%,Standard pfizer 401k and match,normal healthcare,5000+,Public,210000.0,20000,,,None,"It's ok, small town vibe, everyone knows each other",20% target,Big Pharmaceuticals,Associate Research Fellow (R7) aka lab head,15,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,1.5x,"QC Microbiology at a StartUp - Everything from routine testing (EM, Endo, Myco, Sterility, GP, typical routine stuff) to owning deviations, CAPA's, projects, qualifications, Validations, risk assessments, and EMPQs). Basically should have the ability to handle most projects relating to QCM and being able to work well cross-functionally.",2024-06-20,3%,401k 3% match if I contribute 4%,Typical Healthcare benefits. Nothing Special. No HSA contributions.,50-200,Private,123000.0,0,,,None,Company is good. Culture is good. Struggles of the start up include budget conciousness and office politics. (I don't deal with the politics as much - mostly a management thing),10000,Cell Therapy,Sr. QC Associate,7,"Bachelors or Equivalent, Masters or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),MSAT Engineer,2024-06-20,3.8,50% match up to 10%,Local EPO has best coverage with company discount.,5000+,Public,86000.0,0,,,None,,10000,Industrial Biotech,Engineer,3,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-20,3,401k match,"HSA, FSA, HDHP-SO",5000+,Private,240000.0,20000,,,None,,30000,Big Pharmaceuticals,Director ,4,MD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Epidemiology,2024-06-20,Have not been long enough to have an annual yearly raise,"401k match at 5%, pension",,5000+,Private,260000.0,0,,,None,,65000,Big Pharmaceuticals,Director,10,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Direct/lead preclinical projects ,2024-06-22,6,401k with match,Standard high deductible ,5000+,Public,270000.0,65000,,,None,,60000,Big Pharmaceuticals,Director ,5,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent, MD or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Quality Unit,2024-06-23,Have not been long enough to have an annual yearly raise,401k match,80% of plan costs,200-1000,Public,285000.0,85000,,,"PMP, CMQ/OE, CPGP",,25,Contract Manufacturing Organization,Senior Director,27,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Regeneron ,N/A (no overtime/salaried),Lewd team of 20 translational geneticists,2024-06-23,12,401k,"HSA, FSA",5000+,Public,420000.0,120000,,,None,Great place to work,110000,Big Pharmaceuticals,"VP, Translational Genetics ",5,MD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-24,1,None,,,Academia/College/Universities,50000.0,0,,,None,,Not Applicable/None,Academia/Research/Institution,Research Scientist,15,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-24,2%,401k 6/3 match,,200-1000,Private,92000.0,0,,,None,,Not Applicable/None,Big Pharmaceuticals,Senior Project Engineer,8,"Associate’s Degree or Equivalent, Bachelors or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),First line manager for group of ~12 and project leader,2024-06-24,~3%,2:1 401k match on first 5%,"BCBS coverage, $2500 company matching contribution to dependent care FSA",1000-5000,Private,187000.0,2500,,,None,,Not Applicable/None,Academia/Research/Institution,"Group Leader, Principal Scientist",10,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-24,3%,0%,,50-200,Start-up,130000.0,0,,,None,,10%,Industrial Biotech,Scientist I,1,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),"Manage data management, programming and biostats. Mostly vendor management, not in house work. ",2024-06-26,4%,3% match,Good insurance in a good insurance state. I think our family paid about 250 a month into a high deductible plan. Company provides the deductible in an account. ,50-200,Public,260900.0,20000,,,None,The benefits are stellar- the culture leaves something to be desired. There is a lack of decision making and very toxic folks in leadership. ,"63,960",Small sponsor side biotech,Sr Director Biometrics,17,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Lead tech operations across corp and mfg,2024-06-26,2%,401k match up to 3%,All the normal benefits ,1000-5000,Private,310000.0,150000,,,"Quality, engineering, agile",,90000,Contract Manufacturing Organization,VP / CIO,25,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-27,Company/Institution does not have annual yearly raise,Matches up to 3%,,1-50,Start-up,95000.0,0,,,None,,Not Applicable/None,Contract Manufacturing Organization,Manufacturing Supervisor,6,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent, Masters or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-27,Company/Institution does not have annual yearly raise,None,None,1-50,Private,132000.0,0,,,None,,Not Applicable/None,Industrial Biotech,Scientist,1,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-27,Have not been long enough to have an annual yearly raise,None,,5000+,Private,98000.0,5000,,,None,Very satisfying ,Not Applicable/None,Big Pharmaceuticals,Co-op drug development ,0,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Takeda,N/A (no overtime/salaried),Supply Chain,2024-06-28,3,10% 401k,,5000+,Public,175000.0,0,,,None,,43000,Big Pharmaceuticals,Associate Director,10,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),computational small molecule design,2024-06-29,Have not been long enough to have an annual yearly raise,401k match %,health/dental/vision insurance,1-50,Start-up,145000.0,3000,,,None,,Not Applicable/None,Industrial Biotech,computational chemistry scientist,2,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-06-29,5,401k match 3%,,5000+,Public,100000.0,0,,,None,,10%,Big Pharmaceuticals,Scientist,3,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Translational Scientist,2024-06-30,Have not been long enough to have an annual yearly raise,401k match up to $5000,,200-1000,Public,145000.0,0,,,None,,14500,Big Pharmaceuticals,Scientist,2,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),QA,2024-06-30,16,3% match,,1-50,Private,155000.0,0,,,None,,5000,Contract Research Organization,Assistant Director,15,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),"Senior Quality Engineer- Quality Program Manager. Admin of all QMS, setting up scale-up manufacturing from a systems perspective, will have 1 direct report by end of year.",2024-07-01,Have not been long enough to have an annual yearly raise,3% 401k match,PPO health insurance through blue cross blue shield,1-50,Public,115000.0,7500,,,None,"Still in scale up so the work load is a hot mess. I am the only quality employee on site and awaiting a promotion for it. Otherwise, the flexibility is great and the work is fun ",Not Applicable/None,Biotech Equipment,Senior Quality Engineer,10,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Associate scientist designing and testing pre clinical drug candidates,2024-07-01,8.50%,3% 401k,,1-50,Start-up,82500.0,0,,,None,,10000,Industrial Biotech,Associate scientist ,3,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),"Supervises proposals team, writes proposals as needed",2024-07-02,Company/Institution does not have annual yearly raise,401K match,,200-1000,Public,80000.0,0,,,"RVTg, LATg",,Not Applicable/None,Contract Research Organization,Proposals Supervisor,5,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
"PPD, part of Thermo Fisher Scientific",1.5x,,2024-07-02,3,"Half 401k match, up to 4%",,5000+,Public,49920.0,0,,,None,"Cell lab department was 3/10, cell and gene therapy department is 9/10",1000,Contract Research Organization,Associate Scientist,1,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Study manager,2024-07-03,Company/Institution does not have annual yearly raise,N/A,,200-1000,Private,154000.0,0,,,None,,Not Applicable/None,Medical/Health Devices,Clinical Research Manager,8,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,1.5x,,2024-07-03,3.50%,Standard 401k,,1000-5000,Subsidiary,96000.0,0,,,None,,"12,000",Biotech Equipment,Field Service Engineer,3,"High School or Equivalent, Bachelors or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-07-05,3,4% match,,200-1000,Private,160000.0,5000,,,None,,24000,Biotech Equipment,Sr Scientist,3,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Eli Lilly,1.5x base,,2024-07-05,Have not been long enough to have an annual yearly raise,6% 401K Match,,5000+,Public,156000.0,0,,,None,,Not Applicable/None,Big Pharmaceuticals,Senior Process Engineer,2,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),In vivo scientist ,2024-07-05,3.50%,6%,"Pay about $100/paycheck of good medical, dental, vision plus $800 to HSA",1000-5000,Public,100500.0,0,,,None,,10% (but typically get multipliers) ,Big Pharmaceuticals,Scientist ,4,"Bachelors or Equivalent, Masters or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Sanofi,N/A (no overtime/salaried),,2024-07-05,3%,401k match,,5000+,Private,180000.0,0,,,None,,36000,Big Pharmaceuticals,Associate Director,16,MD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-07-05,Company/Institution does not have annual yearly raise,"match starting post 1 year, 3 years vested",,1-50,Private,103000.0,0,,,None,,Not Applicable/None,Industrial Biotech,Associate Research Scientist,2,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,1.5x base,,2024-07-06,3.50%,up to 4% match,Decent Health Insurance with Dental and Vision,1000-5000,Public,86000.0,15000,,,None,,8000,Big Pharmaceuticals,Sr. Analyst,5,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Scientific Proposal Analyst - Review RFPs and provide quote for client to understand costing of bioanalytical services.,2024-07-06,Yearly,11.5% Superannuation ,,50-200,Private,74000.0,0,,,None,,Not Applicable/None,Contract Research Organization,Scientific Proposal Analyst,3,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Execute and oversee clinical trials ,2024-07-06,3,401k match up to 10%,High deductible plan with deductible covered. HSA. ,50-200,Start-up,173000.0,10000,,,None,Unlimited PTO,20000,Liquid biopsy - clinical development ,Associate Director Clinical Opey,15,"Bachelors or Equivalent, Masters or Equivalent","","","","","","","","","","","",2024,,1410,705.5
PPD,1.5x,,2024-07-07,Company/Institution does not have annual yearly raise,401k 6% 1:1 match,,5000+,Public,43680.0,0,,,None,,1310,Contract Research Organization,Associate Scientist,0,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Genmab,N/A (no overtime/salaried),,2024-07-07,3,pension contribution,,1000-5000,Public,68112.0,0,,,None,,9195,Industrial Biotech,Senior Data Scientist,4,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-07-07,3,10%,,50-200,Public,150000.0,0,,,None,,Not Applicable/None,Government,principal statistician,4,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),"Analytical development, and QC testing",2024-07-08,Company/Institution does not have annual yearly raise,100% vested 401k match is cool,Health is reasonable but it isn’t competitive ,1-50,Start-up,80000.0,0,,,None,,3200,Contract Manufacturing Organization,Scientist I,3,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Head of Technology ,2024-07-08,Have not been long enough to have an annual yearly raise,"4 % full match 401K, 7% Annual Retirement Contribution",,5000+,Public,280000.0,0,,,None,Great,100000,Big Pharmaceuticals,Senior Director ,12,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-07-09,5%,Commuter,HRA ,1-50,Private,115500.0,5000,,,None,Giant scrambled mess not worth it ,Not Applicable/None,Biotech startup,Senior scientist,3,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
MilliporeSigma,N/A (no overtime/salaried),,2024-07-09,2.50%,4%,,5000+,Public,150000.0,0,,,None,,10%,Contract Manufacturing Organization,Technical Service Manager,5,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Veristat,N/A (no overtime/salaried),,2024-07-09,2,401k match 6%,,200-1000,Private,110000.0,5000,,,None,,3000,Contract Research Organization,Project Manager I,4,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent","","","","","","","","","","","",2024,,1410,705.5
Amgen,N/A (no overtime/salaried),DMPK,2024-07-09,4,15%,,5000+,Public,159000.0,0,,,None,"100%, great culture and people, good balance",20000,Big Pharmaceuticals,Senior Scientist,8,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Johnson and Johnson Innovative Medicine ,N/A (no overtime/salaried),,2024-07-09,Have not been long enough to have an annual yearly raise,"None, contract",,5000+,Private,68000.0,0,,,None,,Not Applicable/None,Big Pharmaceuticals,Associate scientist ,0,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-07-09,Have not been long enough to have an annual yearly raise,0,,200-1000,Start-up,73000.0,0,,,None,,Not Applicable/None,Big Pharmaceuticals,Analyst,6,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Quality engineer,2024-07-11,Have not been long enough to have an annual yearly raise,401k match up to 6%,,5000+,Public,76000.0,0,,,None,,5500,Big Pharmaceuticals,Quality engineer ,3,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),"AD, MedEx",2024-07-11,3.5,3% match,,200-1000,Public,186000.0,10000,,,None,,25%,Big Pharmaceuticals,Associate Director,8,PharmD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,1x base,,2024-07-12,Have not been long enough to have an annual yearly raise,Company pension,,1-50,Private,76000.0,0,,,None,,Not Applicable/None,Academia/Research/Institution,Senior Scientist,8,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent","","","","","","","","","","","",2024,,1410,705.5
